account_id,company_name,company_size,industry,contract_type,acv_usd,tenure_months,seats_purchased,seats_active_last_30d,seat_utilization_rate,logins_last_30d,admin_logins_last_30d,features_adopted,mfa_enabled_pct,api_calls_last_30d,support_tickets_last_90d,critical_tickets_last_90d,nps_score,qbr_attendance_rate,exec_sponsor_changed_last_180d,days_since_last_login,discount_pct,payment_delays_last_year,expansion_revenue_last_year_usd,churned
ad94ac1d-7941-47ca-9b53-cdcdc57a52d5,Lang-Mercado,392,Telecom,Annual,43494,41,22,12,0.545,69,0,6,52.2,29,3,0,6.0,0.53,False,19,6.9,2,10287,0
ba7e5187-0687-4365-901a-e28824afe7b0,Lang-Roberts,361,Tech,Annual,21070,15,144,58,0.403,839,56,5,24.8,362,6,0,5.0,0.88,True,11,10.7,0,3143,0
51be6342-44ea-42b9-8586-2d5c6f67410f,"Mclaughlin, Whitaker and Alvarez",492,Tech,Monthly,47254,5,59,33,0.559,292,16,5,48.8,148,3,0,8.0,0.67,False,2,8.8,0,0,1
dcf10b87-5fb9-4db5-a151-8c179ee0dae2,Buchanan-Brown,369,Education,Monthly,23823,19,124,69,0.556,579,45,4,57.8,215,4,0,5.0,0.18,True,17,10.5,0,0,0
162ad767-0a00-413d-944b-336e14d19db0,Scott PLC,139,Manufacturing,Annual,11247,2,13,6,0.462,21,2,6,25.6,55,9,1,6.0,0.52,False,3,8.6,1,0,1
6fa0352a-d626-4e35-9318-bf52fa7dd384,Bradley-Garner,441,Telecom,Annual,31453,16,177,117,0.661,857,59,9,64.3,2657,1,0,10.0,1.0,False,3,6.5,0,4232,0
f2e17799-8435-414c-a4d3-cf00fbafe11e,Moore Inc,174,Telecom,Monthly,17567,17,37,23,0.622,141,10,5,80.7,113,1,0,9.0,0.68,False,7,25.6,0,0,0
6422d5be-c932-4105-a031-ba6ee7a0f497,"Campos, Brock and Marquez",1116,Retail,Multi-year,138139,4,352,242,0.688,1487,92,5,42.5,755,3,0,5.0,0.76,False,44,10.8,0,25836,0
843e6e18-8690-47bc-b5a2-37ceb1124abc,Carter Ltd,50,Tech,Annual,14964,45,6,4,0.667,28,1,7,88.2,131,2,0,8.0,0.63,False,4,13.7,0,3127,0
1043663f-dc32-4554-a6d9-d19db967362e,"Tate, Sosa and Hart",277,Manufacturing,Annual,40192,33,31,23,0.742,223,13,8,53.5,420,2,0,10.0,0.7,False,0,6.9,0,11516,0
033edef1-30fd-44eb-ab90-09ddbf0f2c57,"Patel, Thompson and Payne",3907,Retail,Monthly,129470,3,1601,322,0.201,2374,137,5,36.6,758,12,0,,0.1,False,8,27.8,1,0,1
9a2cd14c-3db6-4f6e-b49b-b36b905ac326,Martin-Maldonado,140,Media,Annual,16269,3,37,26,0.703,247,15,5,43.9,121,2,0,6.0,0.52,False,17,6.2,0,0,0
a7bb4b30-9977-4062-86b0-71c976b6d5c6,Miller Ltd,663,Tech,Monthly,62537,8,123,103,0.837,1499,97,9,92.7,2332,0,0,10.0,0.46,False,0,19.8,0,0,1
aeea3315-43d5-4064-80c5-95f9cc65af85,"Perkins, Holland and Jacobson",1587,Tech,Annual,90734,38,772,226,0.293,643,37,3,6.4,2957,10,3,6.0,0.27,False,22,15.5,1,0,1
e4d0f03d-9edc-490a-8dc4-e63ab882b0f0,Perez-Spencer,1596,Retail,Annual,117323,27,224,63,0.281,783,53,6,22.2,153,3,1,7.0,0.78,True,5,7.4,1,0,1
cad091ef-9e98-4d40-8611-73b751fb9bc7,Wells LLC,811,Media,Annual,64756,14,250,69,0.276,190,6,3,55.1,240,6,1,6.0,0.73,False,0,14.4,0,0,0
ba23e5de-eb2b-4512-ac13-685911fd8233,"Mcneil, Hartman and Flowers",2047,Retail,Annual,72694,19,128,86,0.672,69,1,7,41.5,1786,2,0,8.0,0.94,True,6,19.1,0,0,0
fe678ebf-d313-4d9e-8f1d-e6da06c3551a,Roberts-Powers,530,Finance,Annual,38029,8,140,103,0.736,501,22,9,31.7,795,6,0,8.0,0.85,False,1,0.0,0,0,0
2bab5975-9166-41b3-974b-abedb9a6c963,Ellis PLC,128,Telecom,Monthly,19787,31,51,26,0.51,134,9,6,52.6,16,3,0,,0.19,False,15,12.9,0,0,1
a0551b47-f83d-4d6f-8a1e-b583e60d66fb,Barnett Inc,150,Education,Multi-year,15721,1,42,6,0.143,0,0,0,0.0,12,8,4,4.0,0.31,False,60,7.4,1,0,1
