account_id,company_name,company_size,industry,contract_type,acv_usd,tenure_months,seats_purchased,seats_active_last_30d,seat_utilization_rate,logins_last_30d,admin_logins_last_30d,features_adopted,mfa_enabled_pct,api_calls_last_30d,support_tickets_last_90d,critical_tickets_last_90d,nps_score,qbr_attendance_rate,exec_sponsor_changed_last_180d,days_since_last_login,discount_pct,payment_delays_last_year,expansion_revenue_last_year_usd,churned
8b076c6f-ed25-4c55-b9d3-6b54536b0d9a,Lee-Ellis,960,Telecom,Multi-year,12300,19,355,175,0.493,1768,102,5,2.1,3566,5,0,,0.8,False,1,6.3,0,0,0
56982b70-4e45-41c5-bc26-c9e08e41be73,Moore Ltd,2591,Tech,Annual,89765,12,398,149,0.374,0,0,2,37.4,671,10,2,5.0,0.55,False,83,11.0,2,0,1
71ecb583-80ab-4dbd-a6fd-ff4cc9eeea7c,"Newton, Hoffman and Peters",2534,Finance,Annual,149816,6,394,269,0.683,3126,167,7,68.5,1037,2,0,7.0,0.87,False,8,18.0,0,0,0
2a6eae42-c4b1-4f1a-8f5d-147e1a684217,"Ellison, Barnes and Ray",405,Finance,Annual,37055,28,86,71,0.826,622,45,10,56.7,2139,1,0,10.0,0.96,False,2,11.5,0,7420,0
37fae2e4-e7b8-4b1d-8cfc-5b3506894277,Thomas Group,823,Retail,Monthly,79846,44,384,84,0.219,0,0,1,93.9,101,4,2,6.0,0.14,True,40,14.9,2,0,1
981c6118-10e1-46a2-b301-b0c87f931471,"Schaefer, Mccormick and Alexander",86,Healthcare,Annual,24713,20,32,6,0.188,22,0,1,42.5,9,2,1,6.0,0.24,False,2,4.8,1,0,1
2ed8e1b8-d58c-4d59-93d7-61d8c2692177,"Wilson, Richards and Thornton",742,Retail,Annual,50686,15,288,248,0.861,2174,138,9,62.4,658,4,0,8.0,0.94,False,2,11.3,0,0,0
8c922e29-42c0-41b3-84da-c3ae3d6b3cb0,"West, Singh and Bowen",278,Media,Multi-year,27038,61,112,61,0.545,447,28,4,14.9,128,2,0,3.0,0.09,False,20,2.0,0,0,0
dcda5fa7-605a-4fbf-819e-47cd52fd8a31,Fitzpatrick-Johnson,542,Finance,Monthly,19979,8,230,100,0.435,1071,73,8,36.1,1508,2,0,6.0,0.29,False,8,10.6,0,0,0
47f0befc-19ac-485f-9e7a-ea42817396bc,"Patrick, Caldwell and Parrish",104,Education,Monthly,9581,22,13,5,0.385,9,0,3,46.0,14,5,0,6.0,0.52,False,14,3.1,1,0,0
e2cd092a-15fd-4e1d-b87d-38923f90434f,Bennett-Lewis,1038,Retail,Annual,41401,38,492,372,0.756,2808,172,9,65.8,48238,2,0,10.0,1.0,False,4,4.3,0,0,0
d141abcb-7f2a-42f4-bf15-5a78e4e6ce0f,Fisher-Young,103,Healthcare,Annual,22104,10,24,18,0.75,197,14,8,53.3,253,4,0,8.0,0.88,False,6,10.1,0,0,0
89995a89-f5ff-45b8-be83-a4c7cf0aabe8,"Edwards, Martin and Yang",783,Finance,Monthly,52558,23,237,143,0.603,917,53,7,77.7,1249,4,0,9.0,0.57,False,1,12.3,0,13209,0
f056dc97-1749-45d8-bc27-00c98b7811f8,Duncan LLC,173,Finance,Annual,19502,45,72,56,0.778,1305,70,9,41.8,928,2,0,10.0,0.7,False,2,6.4,0,0,0
020c97f1-01d3-4cb8-b810-e74c6406a9f2,Thomas-Robbins,261,Finance,Monthly,23842,10,113,84,0.743,776,42,5,60.5,437,1,0,8.0,0.58,False,0,9.4,0,6920,0
b77354a2-94be-47fa-8236-593dfb75a9c1,Moore-Peck,2369,Manufacturing,Multi-year,85011,35,658,318,0.483,1411,67,5,29.3,3548,5,0,,0.35,False,36,8.1,0,0,0
565ad6b1-a6ea-410d-ae1d-f5b6c3b8ff6e,Rhodes and Sons,1270,Healthcare,Multi-year,115549,4,375,265,0.707,1541,105,7,100.0,998,1,0,,1.0,False,1,9.0,0,0,0
da32e7f4-9c45-43ec-9d15-cba8e42d202f,Allen-Blake,2355,Tech,Annual,120080,20,552,91,0.165,0,0,6,25.9,256,4,2,,0.55,False,55,8.8,1,0,1
6ba9971a-f68e-4788-90d4-bcb9ac3f0956,"Martinez, Strong and Clay",3699,Manufacturing,Annual,225488,51,267,134,0.502,622,35,7,100.0,3676,2,0,,0.82,True,1,16.9,0,17055,1
b882a285-9337-4961-95f6-2a4f39abcf1c,"Bray, Gordon and Adams",284,Retail,Annual,13521,36,97,43,0.443,268,20,6,40.9,1206,2,0,7.0,0.86,False,16,9.4,0,3843,0
72928cfa-f634-42f1-b567-e8bbbb18e176,"Abbott, Camacho and Jackson",3459,Telecom,Annual,180292,53,1227,597,0.487,3681,206,3,37.2,32001,3,1,6.0,0.69,True,13,0.8,0,0,1
ffe5b11c-24b9-4c3d-9e34-66281413bf99,Mccall LLC,133,Healthcare,Annual,16995,1,35,12,0.343,113,5,4,37.2,40,6,1,5.0,0.56,False,0,17.3,0,0,0
9af36a9b-12fa-4a85-bdf7-4afdced71159,"Pace, Herrera and Fisher",1511,Retail,Annual,79200,20,108,70,0.648,811,55,10,38.3,1644,2,0,10.0,1.0,False,1,0.0,0,0,0
0a39bd04-2f0f-43a3-b432-50162137083c,Gilbert Group,387,Healthcare,Multi-year,67251,11,118,65,0.551,354,17,8,25.9,72,3,0,,0.59,False,11,6.1,0,0,1
0001c619-8d2d-47df-aa1f-531cd90f4027,Perry Ltd,239,Manufacturing,Annual,25083,21,23,8,0.348,55,5,5,78.0,231,3,0,6.0,0.5,False,20,16.0,0,0,0
ddf199dd-2f7d-49a3-893a-b92540a24e4e,Ramirez-Copeland,1308,Healthcare,Annual,98964,47,333,66,0.198,384,30,4,57.3,346,2,0,,0.36,True,25,10.5,0,13939,0
10fd7e01-9a2f-49d7-a08b-bd7b8b151a23,Prince-Williams,1881,Tech,Multi-year,67276,66,770,372,0.483,5057,305,8,77.4,7271,5,0,9.0,0.68,True,4,16.1,0,0,0
360d949c-371e-427a-8f5b-92b551fe8fdb,Ryan Ltd,1820,Telecom,Multi-year,100549,88,277,150,0.542,2225,123,9,45.0,2527,1,0,9.0,0.69,False,12,16.1,0,0,0
1b8d7ef5-9bea-4eff-b679-a3dd1aa8b3e5,Bullock Inc,842,Manufacturing,Multi-year,33023,15,390,231,0.592,2105,125,5,69.1,3368,0,0,10.0,0.68,False,3,6.1,0,0,0
4a5ca417-9032-4ec4-91ab-4fbd40bf8fe5,"Leonard, Rodriguez and Hill",769,Retail,Annual,57765,3,284,209,0.736,1137,77,8,56.8,1018,5,0,8.0,0.57,False,37,16.9,0,11643,0
8ed90010-0c65-4fbd-b0aa-1ed939bd1bd3,Young LLC,1187,Healthcare,Annual,89471,2,197,195,0.99,3039,186,11,56.3,2013,1,0,,1.0,False,1,15.2,0,15219,0
9ef9788e-ea46-4e7a-b22a-8f9eefaf2cdc,Gonzalez Ltd,929,Manufacturing,Annual,103055,7,143,34,0.238,232,15,4,100.0,512,2,0,8.0,0.62,False,13,13.7,2,0,1
